"gene_id","GSM461177","GSM461178","GSM461180","GSM461181"
"FBgn0039461",9.11591506230629,8.8653164994237,8.86765891244798,9.07986858442965
"FBgn0037894",10.8213501875999,11.0019889264492,11.1215969447317,10.9529399570941
"FBgn0051224",11.3788905096153,11.2820198704547,11.399284968187,11.3058495178875
"FBgn0054008",7.99563107803283,8.13750826120148,8.25778240651847,8.21349902331176
"FBgn0039714",11.6215197406604,11.7008411517423,10.9941143567601,10.9738708340075
"FBgn0037802",8.49694525508446,8.52473643641248,8.51370150572991,8.42591037642489
"FBgn0039328",8.90082041957364,8.97918379960996,8.8522243783471,8.73236214695794
"FBgn0285912",8.27363637669993,8.12548680168482,8.0549043600152,8.08221936999269
"FBgn0051116",8.72224438556287,8.81795607010837,9.01952885273491,8.98171631434459
"FBgn0266672",10.7916891553488,10.7014630739258,10.7507038690663,10.6995662908863
"FBgn0017550",10.499685690807,10.3199466448386,10.288167765176,10.3037650320829
"FBgn0037679",8.74685127747128,8.85601947423497,8.75998154481757,8.93886119804323
"FBgn0040609",9.05052714882931,9.14824571328626,9.07561062302104,9.0561365360625
"FBgn0014931",9.09121445597682,9.26683849512428,8.99264772236801,9.00252038653006
"FBgn0267408",11.6475155150676,11.5896510575438,11.9131845654819,11.9045309036815
"FBgn0038115",7.88314082163773,7.95027316691387,7.58412637449101,7.88543384973596
"FBgn0038745",10.8685803432947,10.8166368163996,10.6838899957513,10.5612482500075
"FBgn0038321",8.73988506743507,8.75282224089258,8.70134701564799,8.85018036410962
"FBgn0263594",13.418674884252,13.4661891789736,13.479172998889,13.4187588999598
"FBgn0015568",8.64816449211848,8.9105839613366,9.2398737456252,9.26110664377081
"FBgn0038881",10.6392995253155,10.4486413478922,10.5221635251525,10.4340089365876
"FBgn0259139",11.2872642896446,11.2031064704254,11.2880831792625,11.1840305996875
"FBgn0262112",8.00624660886046,8.0606367079219,8.03907433438603,8.02670794242285
"FBgn0039258",8.96714829060347,9.12663781451745,9.16845203991373,9.23714848810212
"FBgn0039415",7.97350876187033,8.21497663761506,8.32848295472951,8.00947215854092
"FBgn0002924",12.2420354405019,12.2347492040548,12.3716919945495,12.4257429195859
"FBgn0051211",10.7052974994519,10.45125380157,10.5083792782564,10.5754424884646
"FBgn0038717",7.93767330355053,8.10056515383635,8.00557359338887,8.00947215854092
"FBgn0262962",7.96194976739906,8.01689631873009,8.07020159685691,7.93183675994595
"FBgn0038049",9.9057074728537,9.97776399586763,10.1765726370366,10.3135444909982
"FBgn0005777",10.736106159338,10.7922990225318,10.7260192822386,10.7057077668354
"FBgn0261238",10.0747374317238,9.83581491935326,10.5385267504342,10.5058129005132
"FBgn0037891",10.9061391116427,10.6938046205468,11.0517725679842,10.8978811347176
"FBgn0039182",10.504710934475,10.5385053121398,10.483218655946,10.302946935616
